Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
The Bridge at Remagen,Ken Hechler,https://www.booktopia.com.au/book/9780307514929.html,ePUB,13.7,11.99,307514927,25-03-2009,Random House Publishing Group,
Brothers York,Thomas Penn,https://www.booktopia.com.au/book/9780718197292.html,ePUB,19.99,19.99,718197291,03-10-2019,Penguin Books Ltd,640
The Secret Diary of Adrian Mole Aged 13 ¾,Sue Townsend,https://www.booktopia.com.au/book/9780141962900.html,ePUB,9.99,9.99,141962909,05-11-2009,Penguin Random House Children's UK,272
The First Fifteen Lives of Harry August,Claire North,https://www.booktopia.com.au/book/9781405528252.html,ePUB,11.99,11.99,1405528257,08-04-2014,"Little, Brown Book Group",416
Hellion,Karen Lynch,https://www.booktopia.com.au/book/9781370046782.html,ePUB,6.87,6.87,1370046782,08-01-2019,Karen Lynch,
Solo,Jill Mansell,https://www.booktopia.com.au/book/9780755351879.html,ePUB,11.99,11.99,755351878,10-02-2008,Headline,300
Alaska,James A. Michener,https://www.booktopia.com.au/book/9780804151429.html,ePUB,5.99,5.99,804151423,17-12-2013,Random House Publishing Group,
Dear Evan Hansen,Val Emmich,https://www.booktopia.com.au/book/9780241361863.html,ePUB,12.99,12.99,241361869,09-10-2018,Penguin Random House Children's UK,368
The Eagle and the Wolves (Eagles of the Empire 4),Simon Scarrow,https://www.booktopia.com.au/book/9780755350858.html,ePUB,12.99,12.99,755350855,04-09-2008,Headline,448
The Blind Assassin,Margaret Atwood,https://www.booktopia.com.au/book/9780748113347.html,ePUB,11.99,11.99,748113347,03-09-2009,"Little, Brown Book Group",656
The Summer Queen,Elizabeth Chadwick,https://www.booktopia.com.au/book/9780748133833.html,ePUB,12.99,12.99,748133836,20-06-2013,"Little, Brown Book Group",496
The Hand That First Held Mine,Maggie O'Farrell,https://www.booktopia.com.au/book/9780755373277.html,ePUB,11.99,11.99,755373278,29-04-2010,Headline,352
Our Man in Charleston,Christopher Dickey,https://www.booktopia.com.au/book/9780307887290.html,ePUB,25.7,20.99,307887294,21-07-2015,Crown,
Arnhem,Antony Beevor,https://www.booktopia.com.au/book/9780141941295.html,ePUB,14.99,14.99,141941294,17-05-2018,Penguin Books Ltd,496
The Boundless Sea,David Abulafia,https://www.booktopia.com.au/book/9780141972091.html,ePUB,19.99,19.99,141972092,03-10-2019,Penguin Books Ltd,512
One Of Us Is Next,Karen M. McManus,https://www.booktopia.com.au/book/9780241376935.html,ePUB,9.99,9.99,241376939,09-01-2020,Penguin Random House Children's UK,308
The Sword Of Shannara,Terry Brooks,https://www.booktopia.com.au/book/9781405515665.html,ePUB,12.99,12.99,140551566X,23-02-2012,"Little, Brown Book Group",672
In Peace Lies Havoc (Midnight Mayhem: Book I),Amo Jones,https://www.booktopia.com.au/book/9781393487326.html,ePUB,6.99,6.99,1393487327,05-11-2019,?Amo Jones,
The Eagle In The Sand (Eagles of the Empire 7),Simon Scarrow,https://www.booktopia.com.au/book/9780755350803.html,ePUB,12.99,12.99,755350804,04-09-2008,Headline,448
The Lady in the Lake and Other Novels,Raymond Chandler,https://www.booktopia.com.au/book/9780141190761.html,ePUB,16.99,16.99,141190760,07-06-2001,Penguin Books Ltd,608
The Leadership Challenge,James M. Kouzes,https://www.booktopia.com.au/book/9781119278979.html,ePUB,41.79,41.79,111927897X,30-03-2017,Wiley Professional Development (P&T),0
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,https://www.booktopia.com.au/book/9781401920524.html,ePUB,19.06,15.99,1401920527,31-07-2007,Hay House,395
The Dollhouse,Fiona Davis,https://www.booktopia.com.au/book/9781101985007.html,ePUB,25.7,20.99,1101985003,23-08-2016,Penguin Publishing Group,
The Lost Sisters,Holly Black,https://www.booktopia.com.au/book/9780316310444.html,ePUB,3.99,3.99,316310441,02-10-2018,"Little, Brown Books for Young Readers",100
A Pound Of Flesh,Alex Gray,https://www.booktopia.com.au/book/9780748117383.html,ePUB,12.99,12.99,748117385,01-03-2012,"Little, Brown Book Group",352
Body Swap,Katrina Kahler,https://www.booktopia.com.au/book/9781370005321.html,ePUB,,,1370005326,28-03-2017,Katrina Kahler,
Billy Connolly's Tracks Across America,Billy Connolly,https://www.booktopia.com.au/book/9780751564150.html,ePUB,19.99,19.99,075156415X,31-03-2016,"Little, Brown Book Group",288
The Hairy Bikers' 12 Days of Christmas,Hairy Bikers,https://www.booktopia.com.au/book/9780297864547.html,ePUB,19.99,19.99,297864548,02-12-2010,Orion,224
Our Band Could Be Your Life,Michael Azerrad,https://www.booktopia.com.au/book/9780316247184.html,ePUB,25.99,25.99,316247189,01-12-2012,"Little, Brown and Company",528
Masters of Rome,Robert Fabbri,https://www.booktopia.com.au/book/9780857899644.html,ePUB,9.49,8.99,857899643,07-08-2014,Corvus,300
Apache Dawn,Damien Lewis,https://www.booktopia.com.au/book/9780748122769.html,ePUB,12.99,12.99,748122761,02-09-2010,"Little, Brown Book Group",384
Me Talk Pretty One Day,David Sedaris,https://www.booktopia.com.au/book/9780748123032.html,ePUB,12.99,12.99,748123032,05-08-2010,"Little, Brown Book Group",288
Xero For Dummies,Heather Smith,https://www.booktopia.com.au/book/9780730363996.html,ePUB,25.99,25.99,730363996,11-03-2019,Wiley,472
Matter,Iain M. Banks,https://www.booktopia.com.au/book/9780748110049.html,ePUB,12.99,12.99,748110046,04-09-2008,"Little, Brown Book Group",608
Blue Monday,Nicci French,https://www.booktopia.com.au/book/9780141970257.html,ePUB,15.99,15.99,141970251,23-06-2011,Penguin Books Ltd,432
Any Human Heart,William Boyd,https://www.booktopia.com.au/book/9780141925325.html,ePUB,15.99,15.99,141925329,06-03-2003,Penguin Books Ltd,512
The Catcher in the Rye,J. D. Salinger,https://www.booktopia.com.au/book/9780241988794.html,ePUB,15.99,15.99,241988799,13-08-2019,Penguin Books Ltd,240
Crime and Punishment,Fyodor Dostoevsky,https://www.booktopia.com.au/book/9780141956961.html,ePUB,10.99,10.99,141956968,27-02-2014,Penguin Books Ltd,720
Rivers of London,Ben Aaronovitch,https://www.booktopia.com.au/book/9780575097599.html,ePUB,11.99,11.99,575097590,10-01-2011,Orion,384
Goodnight Lady,Martina Cole,https://www.booktopia.com.au/book/9780755374076.html,Paperback,24.99,21.75,075537407X,01-01-2011,Headline,832
The Fire Islands,Gilbert M. Stack,https://www.booktopia.com.au/book/9781370085170.html,ePUB,1.52,1.52,1370085176,01-12-2017,Gilbert M. Stack,
Last Bus to Woodstock,Colin Dexter,https://www.booktopia.com.au/book/9780330468565.html,ePUB,12.35,8.95,330468561,21-08-2009,,0
The Rule of Law,Rt Hon Lord Bingham of Cornhill KG PC FBA Tom Bingham,https://www.booktopia.com.au/book/9780141962016.html,ePUB,15.99,15.99,141962011,07-07-2011,Penguin Books Ltd,224
Hunger,Michael Grant,https://www.booktopia.com.au/book/9780061911491.html,ePUB,13.99,13.99,61911496,26-05-2009,HarperCollins,608
The Case of the Missing Boyfriend,Nick Alexander,https://www.booktopia.com.au/book/9780857896315.html,ePUB,5.99,5.99,857896318,01-08-2011,Corvus,200
A Mother's Courage,Dilly Court,https://www.booktopia.com.au/book/9781407004563.html,ePUB,15.99,15.99,1407004565,04-09-2008,Random House,544
Bloodline,Mark Billingham,https://www.booktopia.com.au/book/9780748111466.html,ePUB,12.99,12.99,748111468,06-08-2009,"Little, Brown Book Group",352
The Elements of Style,William Strunk Jr.,https://www.booktopia.com.au/book/9780486113708.html,ePUB,5.8,5.8,486113701,07-03-2012,Dover Publications,64
Caves of Steel,Isaac Asimov,https://www.booktopia.com.au/book/9780307792419.html,ePUB,14.66,11.99,307792412,13-04-2011,Random House Publishing Group,
Kitchen Confidential,Anthony Bourdain,https://www.booktopia.com.au/book/9781408820858.html,ePUB,19.99,17.99,1408820854,20-12-2010,Bloomsbury Publishing,336
Path of the Assassin,Brad Thor,https://www.booktopia.com.au/book/9780743483308.html,ePUB,9.99,9.99,743483308,15-04-2003,Atria Books,384
If Beale Street Could Talk,James Baldwin,https://www.booktopia.com.au/book/9780141963792.html,ePUB,15.99,15.99,141963794,01-01-2000,Penguin Books Ltd,240
The Labyrinth Index,Charles Stross,https://www.booktopia.com.au/book/9780356511078.html,ePUB,12.99,12.99,356511073,30-10-2018,"Little, Brown Book Group",368
The Red Tent,Anita Diamant,https://www.booktopia.com.au/book/9780330507073.html,ePUB,12.35,8.95,330507079,18-09-2009,,0
Dying for a Cruise,Joyce Cato,https://www.booktopia.com.au/book/9781306020275.html,E-Book,,,1306020271,01-01-2012,Robert Hale & Company,225
Profit First,Mike Michalowicz,https://www.booktopia.com.au/book/9780735214163.html,ePUB,29.14,23.99,735214166,18-01-2017,Penguin Publishing Group,
A Moment of War,Laurie Lee,https://www.booktopia.com.au/book/9780141929552.html,ePUB,15.99,15.99,141929553,01-01-2000,Penguin Books Ltd,192
The Bones Beneath,Mark Billingham,https://www.booktopia.com.au/book/9781405527583.html,ePUB,11.99,11.99,1405527587,22-05-2014,"Little, Brown Book Group",400
One Cretan Evening and Other Stories,Victoria Hislop,https://www.booktopia.com.au/book/9780755389506.html,ePUB,3.99,3.99,755389506,15-09-2011,Headline,72
The Deceivers,Kristen Simmons,https://www.booktopia.com.au/book/9781250175816.html,ePUB,14.95,11.99,125017581X,05-02-2019,Tor Publishing Group,
Mere Christianity,C. S. Lewis,https://www.booktopia.com.au/book/9780061947438.html,ePUB,5.99,5.99,61947431,02-06-2009,HarperCollins,256
The Glass Woman,Caroline Lea,https://www.booktopia.com.au/book/9781405934633.html,ePUB,15.99,15.99,1405934638,07-02-2019,Penguin Books Ltd,464
The Tipping Point,Malcolm Gladwell,https://www.booktopia.com.au/book/9780759574731.html,ePUB,16.99,16.99,759574731,01-11-2006,"Little, Brown and Company",288
Quite Ugly One Morning,Christopher Brookmyre,https://www.booktopia.com.au/book/9780748132034.html,ePUB,11.99,11.99,748132031,16-06-2011,"Little, Brown Book Group",320
A Winter's Tale,Trisha Ashley,https://www.booktopia.com.au/book/9780007328918.html,ePUB,9.99,9.99,7328915,29-05-2009,HarperCollins Publishers,416
March of the Lemmings,Stewart Lee,https://www.booktopia.com.au/book/9780571357048.html,ePUB,18.69,15.99,571357040,03-09-2019,Faber & Faber,324
Into the Fire,Gregg Hurwitz,https://www.booktopia.com.au/book/9781405928571.html,ePUB,15.99,15.99,1405928573,20-02-2020,Penguin Books Ltd,400
Thief Of Time,Terry Pratchett,https://www.booktopia.com.au/book/9781407035284.html,ePUB,15.99,15.99,1407035282,09-10-2008,Transworld,432
Birds of Prey,Wilbur Smith,https://www.booktopia.com.au/book/9780330473323.html,ePUB,13.95,10.5,330473328,04-09-2008,,784
The Bracelet,Fredrica Alleyn,https://www.booktopia.com.au/book/9780753549049.html,ePUB,16.99,16.99,753549042,11-04-2013,Ebury Publishing,320
Revolting Rhymers,,https://www.booktopia.com.au/book/9780141386041.html,ePUB,,,141386045,06-02-2017,Penguin Random House Children's UK,32
Village Christmas,Laurie Lee,https://www.booktopia.com.au/book/9780241243688.html,ePUB,14.99,14.99,241243688,05-11-2015,Penguin Books Ltd,200
Books for Girls,Katrina Kahler,https://www.booktopia.com.au/book/9781370912865.html,ePUB,,,1370912862,24-04-2017,Katrina Kahler,
White Teeth,Zadie Smith,https://www.booktopia.com.au/book/9780141939230.html,ePUB,15.99,15.99,141939230,25-01-2001,Penguin Books Ltd,560
Somebody I Used to Know,Wendy Mitchell,https://www.booktopia.com.au/book/9781387629923.html,ePUB,4.39,3.75,1387629921,22-03-2018,Lulu.com,0
The Tea Planter's Wife,Dinah Jefferies,https://www.booktopia.com.au/book/9780241969564.html,ePUB,15.99,15.99,241969565,03-09-2015,Penguin Books Ltd,386
Brain Freeze,Tom Fletcher,https://www.booktopia.com.au/book/9780241334225.html,ePUB,1.99,1.99,241334225,22-02-2018,Penguin Random House Children's UK,112
Holy Bible,,https://www.booktopia.com.au/book/9780842384896.html,Hardcover,44.99,29.75,842384898,01-07-2004,Tyndale House Publishers,1024
Ayoade on Top,Richard Ayoade,https://www.booktopia.com.au/book/9780571339150.html,ePUB,14.29,12.99,571339158,03-09-2019,Faber & Faber,256
Moving Pictures,Terry Pratchett,https://www.booktopia.com.au/book/9781407034737.html,ePUB,15.99,15.99,1407034731,27-05-2009,Transworld,400
Smiley's People,John le Carré,https://www.booktopia.com.au/book/9780241322536.html,ePUB,15.99,15.99,241322537,27-09-2018,Penguin Books Ltd,464
The Legion (Eagles of the Empire 10),Simon Scarrow,https://www.booktopia.com.au/book/9780755357208.html,ePUB,12.99,12.99,755357205,11-11-2010,Headline,448
The Children's Block,Otto B Kraus,https://www.booktopia.com.au/book/9781473573222.html,ePUB,15.99,15.99,147357322X,17-10-2019,Ebury Publishing,320
Everything is Figureoutable,Marie Forleo,https://www.booktopia.com.au/book/9780241341049.html,ePUB,4.99,4.99,241341043,12-09-2019,Penguin Books Ltd,240
Dominic,L.A. Casey,https://www.booktopia.com.au/book/9780992984915.html,ePUB,4.99,4.99,992984912,13-03-2016,?L.A. Casey,
Belle,Lesley Pearse,https://www.booktopia.com.au/book/9780141964072.html,ePUB,15.99,15.99,141964073,03-02-2011,Penguin Books Ltd,624
1984,George Orwell,https://www.booktopia.com.au/book/9780547249643.html,ePUB,9.99,9.99,547249640,03-09-2013,HarperCollins,
Giovanni's Room,James Baldwin,https://www.booktopia.com.au/book/9780141903989.html,ePUB,15.99,15.99,141903988,04-10-2001,Penguin Books Ltd,176
Rafa,Rafael Nadal,https://www.booktopia.com.au/book/9780748129454.html,ePUB,12.99,12.99,748129456,18-08-2011,"Little, Brown Book Group",320
Furry Friends,K Campbell,https://www.booktopia.com.au/book/9781311796653.html,ePUB,,,1311796657,26-02-2016,Katrina Kahler,
You Are the Placebo,Dr. Joe Dispenza,https://www.booktopia.com.au/book/9781401944865.html,ePUB,27.86,22.99,1401944868,29-04-2014,Hay House,
John,Michael Card,https://www.booktopia.com.au/book/9780830844135.html,Paperback,41.42,41.42,830844139,14-07-2014,INTER VARSITY PR,237
An Almost Perfect Christmas,Nina Stibbe,https://www.booktopia.com.au/book/9780241981368.html,ePUB,15.99,15.99,241981360,02-11-2017,Penguin Books Ltd,176
On Dublin Street,Samantha Young,https://www.booktopia.com.au/book/9781405912990.html,ePUB,15.99,15.99,1405912995,25-10-2012,Penguin Books Ltd,416
Billy and Me,Giovanna Fletcher,https://www.booktopia.com.au/book/9781405909969.html,ePUB,15.99,15.99,140590996X,23-05-2013,Penguin Books Ltd,416
Bless Her Dead Heart,Meg Collett,https://www.booktopia.com.au/book/9780463208823.html,ePUB,1.39,1.39,046320882X,24-07-2019,Meg Collett,
Before They Are Hanged : First Law,Joe Abercrombie,https://www.booktopia.com.au/book/9780575091511.html,ePUB,12.99,12.99,575091517,18-06-2009,Orion,592
The Collector,Nora Roberts,https://www.booktopia.com.au/book/9781405522779.html,ePUB,11.99,11.99,1405522771,15-04-2014,"Little, Brown Book Group",496
A Mistletoe Kiss,Katie Flynn,https://www.booktopia.com.au/book/9781407070742.html,ePUB,15.99,15.99,1407070746,05-08-2010,Random House,448
Hinds' Feet on High Places,Hannah Hurnard,https://www.booktopia.com.au/book/9780842313940.html,Hardcover,28.99,26.25,084231394X,25-07-1986,TYNDALE PUB,320
Pop Goes the Weasel,M. J. Arlidge,https://www.booktopia.com.au/book/9781405914970.html,ePUB,15.99,15.99,1405914971,11-09-2014,Penguin Books Ltd,464
The Paleo Diet Revised,Loren Cordain,https://www.booktopia.com.au/book/9780544187610.html,ePUB,29.69,23.99,054418761X,27-02-2024,HarperCollins,288
Carrie's War,Nina Bawden,https://www.booktopia.com.au/book/9780141909417.html,ePUB,10.99,10.99,141909412,26-05-2005,Penguin Books Ltd,192
Interesting Times,Terry Pratchett,https://www.booktopia.com.au/book/9781407034966.html,ePUB,14.99,14.99,1407034960,05-12-2008,Transworld,432
Cross and Burn,Val McDermid,https://www.booktopia.com.au/book/9781405523127.html,ePUB,11.99,11.99,1405523123,10-10-2013,"Little, Brown Book Group",448
How Not to Be a Professional Racing Driver,Jason Plato,https://www.booktopia.com.au/book/9780241404171.html,ePUB,14.99,14.99,241404177,19-09-2019,Penguin Books Ltd,304
Hornblower and the Crisis,C.S. Forester,https://www.booktopia.com.au/book/9780141928982.html,ePUB,15.99,15.99,141928980,05-10-2006,Penguin Books Ltd,176
The Dark Forest,Cixin Liu,https://www.booktopia.com.au/book/9780765377081.html,Hardcover,46.95,46.95,076537708X,11-08-2015,Tor Books,512
Lustrum,Robert Harris,https://www.booktopia.com.au/book/9781409021315.html,ePUB,15.99,15.99,1409021319,07-09-2010,Random House,464
Stalingrad,Antony Beevor,https://www.booktopia.com.au/book/9780141926100.html,ePUB,15.99,15.99,141926104,04-10-2007,Penguin Books Ltd,512
Permafrost,Alastair Reynolds,https://www.booktopia.com.au/book/9781250303554.html,ePUB,6.22,5.99,1250303559,19-03-2019,Tor Publishing Group,
The Diary of a Nobody,George Grossmith,https://www.booktopia.com.au/book/9780141905693.html,ePUB,10.99,10.99,141905697,01-01-2000,Penguin Books Ltd,256
Cold Days,Jim Butcher,https://www.booktopia.com.au/book/9780356500959.html,Paperback,22.9,22.9,356500950,10-09-2013,Little Brown,646
The Enemy,Tom Wood,https://www.booktopia.com.au/book/9780748122868.html,ePUB,16.99,16.99,748122869,13-03-2012,"Little, Brown Book Group",400
Gateway to the Seer Realm,Barbie Breathitt,https://www.booktopia.com.au/book/9780768403053.html,Paperback,36.6,36.6,768403057,21-08-2012,DESTINY IMAGE INC,316
The Woman Who Walked into the Sea,Mark Douglas-Home,https://www.booktopia.com.au/book/9781405923590.html,ePUB,15.99,15.99,1405923598,14-01-2016,Penguin Books Ltd,336
A Wrinkle in Time,Madeleine L'Engle,https://www.booktopia.com.au/book/9780141929569.html,ePUB,9.99,9.99,141929561,01-11-2007,Penguin Random House Children's UK,208
Little Life,Hanya Yanagihara,https://www.booktopia.com.au/book/9780385539265.html,E-Book,,,385539266,01-01-2015,Knopf Doubleday Publishing Group,498
Be As You Are,David Godman,https://www.booktopia.com.au/book/9780141935386.html,ePUB,14.99,14.99,141935383,01-01-2000,Penguin Books Ltd,272
The Legend of Podkin One-Ear,Kieran Larwood,https://www.booktopia.com.au/book/9780571328277.html,ePUB,10.99,9.99,057132827X,04-10-2016,Faber & Faber,288
Guards! Guards!,Terry Pratchett,https://www.booktopia.com.au/book/9781407034690.html,ePUB,14.99,14.99,1407034693,16-12-2008,Transworld,432
Me Before You,Jojo Moyes,https://www.booktopia.com.au/book/9780141969183.html,ePUB,15.99,15.99,141969180,02-01-2012,Penguin Books Ltd,528
Underland,Robert Macfarlane,https://www.booktopia.com.au/book/9780241146422.html,ePUB,16.99,16.99,241146429,02-05-2019,Penguin Books Ltd,496
A Spell of Winter,Helen Dunmore,https://www.booktopia.com.au/book/9780141933412.html,ePUB,15.99,15.99,141933410,25-10-2007,Penguin Books Ltd,320
"Ask Again, Yes",Mary Beth Keane,https://www.booktopia.com.au/book/9781405943147.html,ePUB,15.99,15.99,1405943149,08-08-2019,Penguin Books Ltd,400
One by One,Chris Carter,https://www.booktopia.com.au/book/9780857203090.html,ePUB,16.99,16.99,857203096,15-08-2013,Simon & Schuster UK,512
Air Bound,Christine Feehan,https://www.booktopia.com.au/book/9780349401874.html,ePUB,7.99,7.99,034940187X,27-05-2014,"Little, Brown Book Group",400
Dreamer,Peter James,https://www.booktopia.com.au/book/9780752876788.html,Paperback,21.99,21.25,752876783,01-08-2005,Orion,384
Keeping Up Appearances,Elizabeth Stevens,https://www.booktopia.com.au/book/9780648264873.html,ePUB,5.49,4.25,648264874,01-06-2018,Sleeping Dragon Books,500
The Complete Book of Chalk Lettering,Valerie McKeehan,https://www.booktopia.com.au/book/9780761187042.html,ePUB,23.99,23.99,761187049,06-10-2015,Workman Publishing Company,144
Demon's Dance,Keri Arthur,https://www.booktopia.com.au/book/9780648324652.html,ePUB,6.99,6.99,648324656,12-02-2019,KA Publishing PTY LTD,
How to Be an Adult in Relationships,David Richo,https://www.booktopia.com.au/book/9780834821033.html,ePUB,25.39,20.34,834821036,18-06-2002,Shambhala,240
The Final Day,Dr William R Forstchen,https://www.booktopia.com.au/book/9780765376732.html,Hardcover,55.99,49.5,765376733,03-01-2017,FORGE,352
Jolly Foul Play,Robin Stevens,https://www.booktopia.com.au/book/9780141369709.html,ePUB,9.99,9.99,141369701,24-03-2016,Penguin Random House Children's UK,336
Silent Scream (The Minneapolis Series Book 2),Karen Rose,https://www.booktopia.com.au/book/9780755373260.html,ePUB,11.99,11.99,075537326X,13-05-2010,Headline,544
The Magic of Thinking Big,David J Schwartz,https://www.booktopia.com.au/book/9780698198586.html,ePUB,21.75,21.75,698198581,02-12-2014,,256
The Book of Life,Deborah Harkness,https://www.booktopia.com.au/book/9780755384808.html,ePUB,12.99,12.99,755384806,15-07-2014,Headline,592
Princeps' Fury,Jim Butcher,https://www.booktopia.com.au/book/9780748112883.html,ePUB,11.99,11.99,074811288X,03-12-2009,"Little, Brown Book Group",512
What's Tha Up To?,Martyn Johnson,https://www.booktopia.com.au/book/9780748129027.html,ePUB,12.99,12.99,748129022,15-09-2011,"Little, Brown Book Group",192
Pathfinder's Way,T.A. White,https://www.booktopia.com.au/book/9781310928338.html,ePUB,4.15,4.15,1310928339,20-04-2016,T.A. White,
Blood of Elves,Andrzej Sapkowski,https://www.booktopia.com.au/book/9780575087491.html,ePUB,12.99,12.99,575087498,19-08-2010,Orion,320
The Great Gatsby,F. Scott Fitzgerald,https://www.booktopia.com.au/book/9780743273565.html,Paperback,33.5,33.5,743273567,01-10-2004,SCRIBNER BOOKS CO,180
Summernight,Sarah K. L. Wilson,https://www.booktopia.com.au/book/9781393267447.html,ePUB,,,1393267440,27-08-2019,?Sarah K. L. Wilson,
Inception,Bianca Scardoni,https://www.booktopia.com.au/book/9780994865137.html,ePUB,6.25,6.25,994865139,30-09-2015,,394
2nd Chance,James Patterson,https://www.booktopia.com.au/book/9780755387069.html,ePUB,12.99,12.99,755387066,23-06-2011,Headline,340
Bad Behavior,Mary Gaitskill,https://www.booktopia.com.au/book/9780241383117.html,ePUB,15.99,15.99,241383110,02-05-2019,Penguin Books Ltd,208
Allotment Gardening for Dummies,Sven Wombwell,https://www.booktopia.com.au/book/9781282547674.html,E-Book,,,1282547674,12-02-2010,For Dummies,459
Play of Death,Oliver Potzsch,https://www.booktopia.com.au/book/9781328662088.html,Paperback,41.8,41.8,132866208X,09-05-2017,Houghton Mifflin,493
Surface Detail,Iain M Banks,https://www.booktopia.com.au/book/9781841498959.html,Paperback,22.99,21.9,1841498955,31-05-2011,Little Brown,640
Barbarians at the Gate,Bryan Burrough,https://www.booktopia.com.au/book/9780061804038.html,ePUB,6.99,6.99,61804037,13-10-2009,HarperCollins,624
Immortal in Death,J.D. Robb,https://www.booktopia.com.au/book/9780748121779.html,ePUB,11.99,11.99,748121773,07-10-2010,"Little, Brown Book Group",352
The Man Who Saw Everything,Deborah Levy,https://www.booktopia.com.au/book/9780241977613.html,ePUB,15.99,15.99,241977614,29-08-2019,Penguin Books Ltd,208
Bones to Ashes,Kathy Reichs,https://www.booktopia.com.au/book/9781407070049.html,ePUB,15.99,15.99,1407070045,27-04-2010,Random House,464
Hornet Flight,Ken Follett,https://www.booktopia.com.au/book/9781509865437.html,Paperback,29.9,29.9,1509865438,30-01-2019,Pan Macmillan UK,592
The Misfit,Rosie Goodwin,https://www.booktopia.com.au/book/9780755385744.html,ePUB,11.99,11.99,755385748,10-05-2012,Headline,313
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,https://www.booktopia.com.au/book/9780748110612.html,ePUB,11.99,11.99,748110615,02-10-2008,"Little, Brown Book Group",256
The Last,Hanna Jameson,https://www.booktopia.com.au/book/9780241984000.html,ePUB,15.99,15.99,241984009,24-01-2019,Penguin Books Ltd,352
4th of July,James Patterson,https://www.booktopia.com.au/book/9780446179669.html,Paperback,39.75,39.75,446179663,01-07-2008,GRAND CENTRAL PUBL,400
Abaddon's Gate,James S. A. Corey,https://www.booktopia.com.au/book/9780748122981.html,ePUB,12.99,12.99,748122982,04-06-2013,"Little, Brown Book Group",560
The Little Book of Hygge,Meik Wiking,https://www.booktopia.com.au/book/9780241283936.html,ePUB,15.99,15.99,241283930,01-09-2016,Penguin Books Ltd,288
"So Long, and Thanks for All the Fish",Douglas Adams,https://www.booktopia.com.au/book/9780330513173.html,ePUB,13.95,10.4,330513176,01-09-2009,,0
Mrs Dalloway,Virginia Woolf,https://www.booktopia.com.au/book/9780141904108.html,ePUB,10.99,10.99,141904100,25-05-2000,Penguin Books Ltd,288
The Ship,C.S. Forester,https://www.booktopia.com.au/book/9780141959238.html,ePUB,15.99,15.99,141959231,05-10-2006,Penguin Books Ltd,256
"Dead Beat (PI Kate Brannigan, Book 1)",Val McDermid,https://www.booktopia.com.au/book/9780007327645.html,ePUB,12.99,12.99,7327641,22-05-2009,HarperCollins Publishers,288
The Casual Vacancy,J.K. Rowling,https://www.booktopia.com.au/book/9781405519229.html,ePUB,12.99,12.99,1405519223,27-09-2012,"Little, Brown Book Group",480
The Bride,Julie Garwood,https://www.booktopia.com.au/book/9781101533116.html,ePUB,17.14,13.99,1101533110,07-06-2011,Penguin Publishing Group,1
The Giver,Lois Lowry,https://www.booktopia.com.au/book/9780547345901.html,ePUB,5.99,5.99,547345909,01-01-2000,HarperCollins,192
Dark Watch,Clive Cussler,https://www.booktopia.com.au/book/9781405909914.html,ePUB,14.99,14.99,1405909919,05-07-2012,Penguin Books Ltd,496
Having You Is Never Enough (Forever and Ever #4),E. L. Todd,https://www.booktopia.com.au/book/9781310157202.html,ePUB,,,1310157200,11-11-2015,E. L. Todd,
Shutter Island,Dennis Lehane,https://www.booktopia.com.au/book/9780748124800.html,ePUB,11.99,11.99,748124802,21-10-2010,"Little, Brown Book Group",304
Sharpe's Gold,Bernard Cornwell,https://www.booktopia.com.au/book/9780007338672.html,ePUB,12.99,12.99,7338678,24-07-2009,HarperCollins Publishers,304
Grief Is the Thing with Feathers,Max Porter,https://www.booktopia.com.au/book/9780571323777.html,ePUB,14.29,12.99,571323774,15-09-2015,Faber & Faber,96
Whatever It Takes,Adele Parks,https://www.booktopia.com.au/book/9780755371365.html,ePUB,12.99,12.99,755371364,21-06-2012,Headline,377
Absolute Friends,John le Carré,https://www.booktopia.com.au/book/9780241321942.html,ePUB,15.99,15.99,241321948,27-09-2018,Penguin Books Ltd,464
The Girl You Left Behind,Jojo Moyes,https://www.booktopia.com.au/book/9780141969190.html,ePUB,15.99,15.99,141969199,27-09-2012,Penguin Books Ltd,544
Silver in the Wood,Emily Tesh,https://www.booktopia.com.au/book/9781250229786.html,ePUB,6.22,5.99,1250229782,18-06-2019,Tor Publishing Group,
The Collector,John Fowles,https://www.booktopia.com.au/book/9780316230209.html,ePUB,10.99,10.99,316230200,01-12-2012,"Little, Brown and Company",320
The End,Ian Kershaw,https://www.booktopia.com.au/book/9780141957074.html,ePUB,16.99,16.99,141957077,25-08-2011,Penguin Books Ltd,592
The Spy Who Came in from the Cold,John le Carré,https://www.booktopia.com.au/book/9780141963624.html,ePUB,15.99,15.99,014196362X,24-02-2011,Penguin Books Ltd,272
Narrative Economics,Robert J. Shiller,https://www.booktopia.com.au/book/9780691189970.html,ePUB,39.59,31.67,691189978,01-10-2019,Princeton University Press,400
Afghan Heat: SAS Operations in Afghanistan,Steve Stone,https://www.booktopia.com.au/book/9781301917099.html,ePUB,5.18,5.18,1301917095,02-02-2016,?Digital Dreams Publishing,
A Short History of Brexit,Kevin O'Rourke,https://www.booktopia.com.au/book/9780241398333.html,ePUB,15.99,15.99,241398339,31-01-2019,Penguin Books Ltd,320
