Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
The Mark of Athena (Heroes of Olympus Book 3),Rick Riordan,https://www.booktopia.com.au/book/9780141967561.html,ePUB,12.99,12.99,141967560,02-10-2012,Penguin Random House Children's UK,592
Blow Fly,Patricia Cornwell,https://www.booktopia.com.au/book/9780748109265.html,ePUB,11.99,11.99,748109269,04-09-2008,"Little, Brown Book Group",544
The Beach,Alex Garland,https://www.booktopia.com.au/book/9780141941448.html,ePUB,15.99,15.99,141941448,05-07-2007,Penguin Books Ltd,448
The 7 Habits Of Highly Effective Teenagers,Sean Covey,https://www.booktopia.com.au/book/9780857206473.html,ePUB,16.99,16.99,857206478,31-03-2011,Simon & Schuster UK,288
A Liverpool Legacy,Anne Baker,https://www.booktopia.com.au/book/9780755399604.html,Paperback,27.75,27.75,755399609,05-06-2014,Headline,384
Bonk,Mary Roach,https://www.booktopia.com.au/book/9780393069211.html,ePUB,17.5,15.95,393069214,06-04-2009,,336
Nine Perfect Strangers,Liane Moriarty,https://www.booktopia.com.au/book/9781405919470.html,ePUB,14.99,14.99,1405919477,04-10-2018,Penguin Books Ltd,
23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,https://www.booktopia.com.au/book/9780141957869.html,ePUB,15.99,15.99,141957867,02-09-2010,Penguin Books Ltd,304
The Jury Master,Robert Dugoni,https://www.booktopia.com.au/book/9780446539654.html,ePUB,17.99,17.99,446539651,15-07-2008,Grand Central Publishing,300
The Snow Child,Eowyn Ivey,https://www.booktopia.com.au/book/9780755380558.html,ePUB,12.99,12.99,075538055X,01-02-2012,Headline,318
A Maiden's Grave,Jeffery Deaver,https://www.booktopia.com.au/book/9781101209356.html,ePUB,14.66,11.99,1101209356,01-01-2000,Penguin Publishing Group,
Escaping Destiny,Amelia Hutchins,https://www.booktopia.com.au/book/9780991190928.html,ePUB,6.99,6.99,991190920,30-07-2015,Amelia Hutchins,
Myers+Chang at Home,Joanne Chang,https://www.booktopia.com.au/book/9780544836730.html,ePUB,46.19,36.99,544836731,19-03-2024,HarperCollins,320
No Way Back,M. J. Arlidge,https://www.booktopia.com.au/book/9781405926959.html,ePUB,2.99,2.99,1405926953,08-08-2016,Penguin Books Ltd,40
The King's Men,Nora Sakavic,https://www.booktopia.com.au/book/9781310839696.html,ePUB,1.43,1.43,1310839697,19-05-2015,Nora Sakavic,
Star Trek,Diane Duane,https://www.booktopia.com.au/book/9780743422277.html,ePUB,5.99,5.99,743422279,03-12-2001,Pocket Books/Star Trek,256
Magnus Chase and the Sword of Summer (Book 1),Rick Riordan,https://www.booktopia.com.au/book/9780141342436.html,ePUB,9.99,9.99,141342439,06-10-2015,Penguin Random House Children's UK,528
I'm a T. Rex!,Dennis R. Shealy,https://www.booktopia.com.au/book/9780307978882.html,ePUB,8.79,7.99,307978885,25-04-2012,Random House Children's Books,
The Crowded Grave,Martin Walker,https://www.booktopia.com.au/book/9780857389572.html,ePUB,11.99,11.99,857389572,29-10-2011,Quercus,320
The Cake Bible,Rose Levy Beranbaum,https://www.booktopia.com.au/book/9780544859562.html,ePUB,42.99,42.99,544859561,06-09-2016,HarperCollins,560
Stitch 'N Bitch Crochet,Debbie Stoller,https://www.booktopia.com.au/book/9780761174981.html,ePUB,23.99,23.99,761174982,13-02-2006,Workman Publishing Company,250
The Book of Why,Judea Pearl,https://www.booktopia.com.au/book/9780241242643.html,ePUB,16.99,16.99,241242649,15-05-2018,Penguin Books Ltd,400
Darkfever,Karen Marie Moning,https://www.booktopia.com.au/book/9780440336358.html,ePUB,14.66,11.99,044033635X,31-10-2006,Random House Publishing Group,
Jamie's Food Tube,Gennaro Contaldo,https://www.booktopia.com.au/book/9781405921107.html,ePUB,14.99,14.99,1405921102,02-07-2015,Penguin Books Ltd,128
Mastering Color Knitting,Melissa Leapman,https://www.booktopia.com.au/book/9780307965493.html,ePUB,15.42,12.99,030796549X,13-07-2011,Clarkson Potter/Ten Speed,
Driving Over Lemons,Chris Stewart,https://www.booktopia.com.au/book/9780956308641.html,ePUB,7.69,6.92,956308643,08-08-2011,Sort Of Books,304
George Washington's Secret Six,Brian Kilmeade,https://www.booktopia.com.au/book/9780698137653.html,ePUB,23.99,19.99,698137655,05-11-2013,Penguin Publishing Group,288
Eeny Meeny,M. J. Arlidge,https://www.booktopia.com.au/book/9781405914895.html,ePUB,15.99,15.99,1405914890,08-05-2014,Penguin Books Ltd,464
How I Became The Fittest Woman On Earth,Tia-Clair Toomey,https://www.booktopia.com.au/book/9780646987286.html,ePUB,17.59,16.99,646987283,22-01-2018,BL SOUTHWICK PUBLISHING PTY LTD,202
The Divine Comedy,Dante Alighieri,https://www.booktopia.com.au/book/9781101117996.html,ePUB,25.7,20.99,1101117990,27-05-2003,Penguin Publishing Group,928
Familiar Stranger,Stuart Hall,https://www.booktopia.com.au/book/9780241290002.html,ePUB,15.99,15.99,241290007,06-04-2017,Penguin Books Ltd,256
The Promise,Lesley Pearse,https://www.booktopia.com.au/book/9780141964089.html,ePUB,15.99,15.99,141964081,19-01-2012,Penguin Books Ltd,528
